,titre,adresse,note,Free High Speed Internet (WiFi),Bar / lounge,Fitness Center with Gym / Workout Room,Parking,Breakfast,Free breakfast,Restaurant,Pool,Ville,prix_moyenne,test,Ville_tsf
1910,Hotel Eurostars Plaza Mayor,"['Calle del Doctor Cortezo 10, 28012 Madrid Spain', 'Calle Gran Vía 14, 28013 Madrid Spain', 'Calle Moratin 52, 28014 Madrid Spain', 'Calle Cruz 14 2nd Floor, 28012 Madrid Spain', 'Calle Bravo Murillo 180, 28020 Madrid Spain', 'Calle Clavel 8, 28004 Madrid Spain', 'Calle Hortaleza 38 2nd Floor, 28004 Madrid Spain', 'Calle del Arenal 8 Planta 3, 28013 Madrid Spain', '', 'Calle Nunez de Arce 1 Junto a la Puerta del Sol, 28012 Madrid Spain', 'Calle Mejia Lequerica 10, 28004 Madrid Spain', 'Calle Gran Vía 44, 28013 Madrid Spain', 'Unsoldstrasse 10, 80538 Munich, Bavaria Germany', 'Dachauer Str. 115, 80335 Munich, Bavaria Germany', 'Senefelderstr. 1, 80336 Munich, Bavaria Germany', 'Marienplatz 22, 80331 Munich, Bavaria Germany', 'Schuetzenstr. 11, 80335 Munich, Bavaria Germany', 'Schwanthalerstr. 37, 80336 Munich, Bavaria Germany', 'Viktualienmarkt 6, 80331 Munich, Bavaria Germany', 'Herrnstrasse 38, 80539 Munich, Bavaria Germany', 'Ledererstraße 8, 80331 Munich, Bavaria Germany', 'Pettenkoferstrasse 3, 80336 Munich, Bavaria Germany', 'Promenadeplatz 2-6, 80333 Munich, Bavaria Germany', 'Truderinger Str. 13, 81677 Munich, Bavaria Germany']",3.5,1,1,1,1,0,1,0,1,Munich,120,99,6
1911,Hotel Eurostars Plaza Mayor,"['Calle del Doctor Cortezo 10, 28012 Madrid Spain', 'Calle Gran Vía 14, 28013 Madrid Spain', 'Calle Moratin 52, 28014 Madrid Spain', 'Calle Cruz 14 2nd Floor, 28012 Madrid Spain', 'Calle Bravo Murillo 180, 28020 Madrid Spain', 'Calle Clavel 8, 28004 Madrid Spain', 'Calle Hortaleza 38 2nd Floor, 28004 Madrid Spain', 'Calle del Arenal 8 Planta 3, 28013 Madrid Spain', '', 'Calle Nunez de Arce 1 Junto a la Puerta del Sol, 28012 Madrid Spain', 'Calle Mejia Lequerica 10, 28004 Madrid Spain', 'Calle Gran Vía 44, 28013 Madrid Spain', 'Unsoldstrasse 10, 80538 Munich, Bavaria Germany', 'Dachauer Str. 115, 80335 Munich, Bavaria Germany', 'Senefelderstr. 1, 80336 Munich, Bavaria Germany', 'Marienplatz 22, 80331 Munich, Bavaria Germany', 'Schuetzenstr. 11, 80335 Munich, Bavaria Germany', 'Schwanthalerstr. 37, 80336 Munich, Bavaria Germany', 'Viktualienmarkt 6, 80331 Munich, Bavaria Germany', 'Herrnstrasse 38, 80539 Munich, Bavaria Germany', 'Ledererstraße 8, 80331 Munich, Bavaria Germany', 'Pettenkoferstrasse 3, 80336 Munich, Bavaria Germany', 'Promenadeplatz 2-6, 80333 Munich, Bavaria Germany', 'Truderinger Str. 13, 81677 Munich, Bavaria Germany']",3.5,1,1,1,1,0,1,0,1,Munich,120,99,6
1912,Hotel Eurostars Plaza Mayor,"['Calle del Doctor Cortezo 10, 28012 Madrid Spain', 'Calle Gran Vía 14, 28013 Madrid Spain', 'Calle Moratin 52, 28014 Madrid Spain', 'Calle Cruz 14 2nd Floor, 28012 Madrid Spain', 'Calle Bravo Murillo 180, 28020 Madrid Spain', 'Calle Clavel 8, 28004 Madrid Spain', 'Calle Hortaleza 38 2nd Floor, 28004 Madrid Spain', 'Calle del Arenal 8 Planta 3, 28013 Madrid Spain', '', 'Calle Nunez de Arce 1 Junto a la Puerta del Sol, 28012 Madrid Spain', 'Calle Mejia Lequerica 10, 28004 Madrid Spain', 'Calle Gran Vía 44, 28013 Madrid Spain', 'Unsoldstrasse 10, 80538 Munich, Bavaria Germany', 'Dachauer Str. 115, 80335 Munich, Bavaria Germany', 'Senefelderstr. 1, 80336 Munich, Bavaria Germany', 'Marienplatz 22, 80331 Munich, Bavaria Germany', 'Schuetzenstr. 11, 80335 Munich, Bavaria Germany', 'Schwanthalerstr. 37, 80336 Munich, Bavaria Germany', 'Viktualienmarkt 6, 80331 Munich, Bavaria Germany', 'Herrnstrasse 38, 80539 Munich, Bavaria Germany', 'Ledererstraße 8, 80331 Munich, Bavaria Germany', 'Pettenkoferstrasse 3, 80336 Munich, Bavaria Germany', 'Promenadeplatz 2-6, 80333 Munich, Bavaria Germany', 'Truderinger Str. 13, 81677 Munich, Bavaria Germany']",3.5,1,1,1,1,0,1,0,1,Munich,120,99,6
1913,Hotel Eurostars Plaza Mayor,"['Calle del Doctor Cortezo 10, 28012 Madrid Spain', 'Calle Gran Vía 14, 28013 Madrid Spain', 'Calle Moratin 52, 28014 Madrid Spain', 'Calle Cruz 14 2nd Floor, 28012 Madrid Spain', 'Calle Bravo Murillo 180, 28020 Madrid Spain', 'Calle Clavel 8, 28004 Madrid Spain', 'Calle Hortaleza 38 2nd Floor, 28004 Madrid Spain', 'Calle del Arenal 8 Planta 3, 28013 Madrid Spain', '', 'Calle Nunez de Arce 1 Junto a la Puerta del Sol, 28012 Madrid Spain', 'Calle Mejia Lequerica 10, 28004 Madrid Spain', 'Calle Gran Vía 44, 28013 Madrid Spain', 'Unsoldstrasse 10, 80538 Munich, Bavaria Germany', 'Dachauer Str. 115, 80335 Munich, Bavaria Germany', 'Senefelderstr. 1, 80336 Munich, Bavaria Germany', 'Marienplatz 22, 80331 Munich, Bavaria Germany', 'Schuetzenstr. 11, 80335 Munich, Bavaria Germany', 'Schwanthalerstr. 37, 80336 Munich, Bavaria Germany', 'Viktualienmarkt 6, 80331 Munich, Bavaria Germany', 'Herrnstrasse 38, 80539 Munich, Bavaria Germany', 'Ledererstraße 8, 80331 Munich, Bavaria Germany', 'Pettenkoferstrasse 3, 80336 Munich, Bavaria Germany', 'Promenadeplatz 2-6, 80333 Munich, Bavaria Germany', 'Truderinger Str. 13, 81677 Munich, Bavaria Germany']",3.5,1,1,1,1,0,1,0,1,Munich,120,99,6
1914,Hotel Eurostars Plaza Mayor,"['Calle del Doctor Cortezo 10, 28012 Madrid Spain', 'Calle Gran Vía 14, 28013 Madrid Spain', 'Calle Moratin 52, 28014 Madrid Spain', 'Calle Cruz 14 2nd Floor, 28012 Madrid Spain', 'Calle Bravo Murillo 180, 28020 Madrid Spain', 'Calle Clavel 8, 28004 Madrid Spain', 'Calle Hortaleza 38 2nd Floor, 28004 Madrid Spain', 'Calle del Arenal 8 Planta 3, 28013 Madrid Spain', '', 'Calle Nunez de Arce 1 Junto a la Puerta del Sol, 28012 Madrid Spain', 'Calle Mejia Lequerica 10, 28004 Madrid Spain', 'Calle Gran Vía 44, 28013 Madrid Spain', 'Unsoldstrasse 10, 80538 Munich, Bavaria Germany', 'Dachauer Str. 115, 80335 Munich, Bavaria Germany', 'Senefelderstr. 1, 80336 Munich, Bavaria Germany', 'Marienplatz 22, 80331 Munich, Bavaria Germany', 'Schuetzenstr. 11, 80335 Munich, Bavaria Germany', 'Schwanthalerstr. 37, 80336 Munich, Bavaria Germany', 'Viktualienmarkt 6, 80331 Munich, Bavaria Germany', 'Herrnstrasse 38, 80539 Munich, Bavaria Germany', 'Ledererstraße 8, 80331 Munich, Bavaria Germany', 'Pettenkoferstrasse 3, 80336 Munich, Bavaria Germany', 'Promenadeplatz 2-6, 80333 Munich, Bavaria Germany', 'Truderinger Str. 13, 81677 Munich, Bavaria Germany']",3.5,1,1,1,1,0,1,0,1,Munich,120,99,6
1915,Way Hostel Madrid,"['Calle Relatores 17, 28012 Madrid Spain', 'Calle Mayor 46, 28013 Madrid Spain', 'Calle Lopez de Hoyos 4, 28006 Madrid Spain', 'Calle Fuencarral 52, 28004 Madrid Spain', 'Avenida Burgos 131 Las Tablas, San Chinarro, 28050 Madrid Spain', 'Calle de Antonio Lopez 65, 28019 Madrid Spain', 'Calle Atocha 43 3rd Floor, 28012 Madrid Spain', 'Calle Almansa, 12, Madrid Spain', 'Calle Atocha 79, 28012 Madrid Spain', '', 'Plaza Santa Cruz 6 Pl, 28012 Madrid Spain', 'Calle Orense 69, 28020 Madrid Spain', 'Sonnenstrasse 25, 80331 Munich, Bavaria Germany', 'Sendlinger Str. 46, 80331 Munich, Bavaria Germany', 'Hochstrasse 3, 81669 Munich, Bavaria Germany', 'Landsberger Strasse 68, 80339 Munich, Bavaria Germany', 'Am Oberwiesenfeld 20, 80809 Munich, Bavaria Germany', 'Paul-Preuss-Str. 2, 80995 Munich, Bavaria Germany', 'Tal 24, 80331 Munich, Bavaria Germany', 'Dachauer Str. 13, 80335 Munich, Bavaria Germany', 'Lyonel-Feininger-Str. 22, 80807 Munich, Bavaria Germany', 'Arabellastr. 13-15, 81925 Munich, Bavaria Germany', 'Lindwurmstrasse 70A, 80337 Munich, Bavaria Germany', 'Gabrielenstrasse 6, 80636 Munich, Bavaria Germany']",3.125,1,1,1,1,0,0,1,1,Munich,65,258,6
1916,Way Hostel Madrid,"['Calle Relatores 17, 28012 Madrid Spain', 'Calle Mayor 46, 28013 Madrid Spain', 'Calle Lopez de Hoyos 4, 28006 Madrid Spain', 'Calle Fuencarral 52, 28004 Madrid Spain', 'Avenida Burgos 131 Las Tablas, San Chinarro, 28050 Madrid Spain', 'Calle de Antonio Lopez 65, 28019 Madrid Spain', 'Calle Atocha 43 3rd Floor, 28012 Madrid Spain', 'Calle Almansa, 12, Madrid Spain', 'Calle Atocha 79, 28012 Madrid Spain', '', 'Plaza Santa Cruz 6 Pl, 28012 Madrid Spain', 'Calle Orense 69, 28020 Madrid Spain', 'Sonnenstrasse 25, 80331 Munich, Bavaria Germany', 'Sendlinger Str. 46, 80331 Munich, Bavaria Germany', 'Hochstrasse 3, 81669 Munich, Bavaria Germany', 'Landsberger Strasse 68, 80339 Munich, Bavaria Germany', 'Am Oberwiesenfeld 20, 80809 Munich, Bavaria Germany', 'Paul-Preuss-Str. 2, 80995 Munich, Bavaria Germany', 'Tal 24, 80331 Munich, Bavaria Germany', 'Dachauer Str. 13, 80335 Munich, Bavaria Germany', 'Lyonel-Feininger-Str. 22, 80807 Munich, Bavaria Germany', 'Arabellastr. 13-15, 81925 Munich, Bavaria Germany', 'Lindwurmstrasse 70A, 80337 Munich, Bavaria Germany', 'Gabrielenstrasse 6, 80636 Munich, Bavaria Germany']",3.125,1,1,1,1,0,0,1,1,Munich,65,258,6
1917,Way Hostel Madrid,"['Calle Relatores 17, 28012 Madrid Spain', 'Calle Mayor 46, 28013 Madrid Spain', 'Calle Lopez de Hoyos 4, 28006 Madrid Spain', 'Calle Fuencarral 52, 28004 Madrid Spain', 'Avenida Burgos 131 Las Tablas, San Chinarro, 28050 Madrid Spain', 'Calle de Antonio Lopez 65, 28019 Madrid Spain', 'Calle Atocha 43 3rd Floor, 28012 Madrid Spain', 'Calle Almansa, 12, Madrid Spain', 'Calle Atocha 79, 28012 Madrid Spain', '', 'Plaza Santa Cruz 6 Pl, 28012 Madrid Spain', 'Calle Orense 69, 28020 Madrid Spain', 'Sonnenstrasse 25, 80331 Munich, Bavaria Germany', 'Sendlinger Str. 46, 80331 Munich, Bavaria Germany', 'Hochstrasse 3, 81669 Munich, Bavaria Germany', 'Landsberger Strasse 68, 80339 Munich, Bavaria Germany', 'Am Oberwiesenfeld 20, 80809 Munich, Bavaria Germany', 'Paul-Preuss-Str. 2, 80995 Munich, Bavaria Germany', 'Tal 24, 80331 Munich, Bavaria Germany', 'Dachauer Str. 13, 80335 Munich, Bavaria Germany', 'Lyonel-Feininger-Str. 22, 80807 Munich, Bavaria Germany', 'Arabellastr. 13-15, 81925 Munich, Bavaria Germany', 'Lindwurmstrasse 70A, 80337 Munich, Bavaria Germany', 'Gabrielenstrasse 6, 80636 Munich, Bavaria Germany']",3.125,1,1,1,1,0,0,1,1,Munich,65,258,6
1918,Way Hostel Madrid,"['Calle Relatores 17, 28012 Madrid Spain', 'Calle Mayor 46, 28013 Madrid Spain', 'Calle Lopez de Hoyos 4, 28006 Madrid Spain', 'Calle Fuencarral 52, 28004 Madrid Spain', 'Avenida Burgos 131 Las Tablas, San Chinarro, 28050 Madrid Spain', 'Calle de Antonio Lopez 65, 28019 Madrid Spain', 'Calle Atocha 43 3rd Floor, 28012 Madrid Spain', 'Calle Almansa, 12, Madrid Spain', 'Calle Atocha 79, 28012 Madrid Spain', '', 'Plaza Santa Cruz 6 Pl, 28012 Madrid Spain', 'Calle Orense 69, 28020 Madrid Spain', 'Sonnenstrasse 25, 80331 Munich, Bavaria Germany', 'Sendlinger Str. 46, 80331 Munich, Bavaria Germany', 'Hochstrasse 3, 81669 Munich, Bavaria Germany', 'Landsberger Strasse 68, 80339 Munich, Bavaria Germany', 'Am Oberwiesenfeld 20, 80809 Munich, Bavaria Germany', 'Paul-Preuss-Str. 2, 80995 Munich, Bavaria Germany', 'Tal 24, 80331 Munich, Bavaria Germany', 'Dachauer Str. 13, 80335 Munich, Bavaria Germany', 'Lyonel-Feininger-Str. 22, 80807 Munich, Bavaria Germany', 'Arabellastr. 13-15, 81925 Munich, Bavaria Germany', 'Lindwurmstrasse 70A, 80337 Munich, Bavaria Germany', 'Gabrielenstrasse 6, 80636 Munich, Bavaria Germany']",3.125,1,1,1,1,0,0,1,1,Munich,65,258,6
1919,Way Hostel Madrid,"['Calle Relatores 17, 28012 Madrid Spain', 'Calle Mayor 46, 28013 Madrid Spain', 'Calle Lopez de Hoyos 4, 28006 Madrid Spain', 'Calle Fuencarral 52, 28004 Madrid Spain', 'Avenida Burgos 131 Las Tablas, San Chinarro, 28050 Madrid Spain', 'Calle de Antonio Lopez 65, 28019 Madrid Spain', 'Calle Atocha 43 3rd Floor, 28012 Madrid Spain', 'Calle Almansa, 12, Madrid Spain', 'Calle Atocha 79, 28012 Madrid Spain', '', 'Plaza Santa Cruz 6 Pl, 28012 Madrid Spain', 'Calle Orense 69, 28020 Madrid Spain', 'Sonnenstrasse 25, 80331 Munich, Bavaria Germany', 'Sendlinger Str. 46, 80331 Munich, Bavaria Germany', 'Hochstrasse 3, 81669 Munich, Bavaria Germany', 'Landsberger Strasse 68, 80339 Munich, Bavaria Germany', 'Am Oberwiesenfeld 20, 80809 Munich, Bavaria Germany', 'Paul-Preuss-Str. 2, 80995 Munich, Bavaria Germany', 'Tal 24, 80331 Munich, Bavaria Germany', 'Dachauer Str. 13, 80335 Munich, Bavaria Germany', 'Lyonel-Feininger-Str. 22, 80807 Munich, Bavaria Germany', 'Arabellastr. 13-15, 81925 Munich, Bavaria Germany', 'Lindwurmstrasse 70A, 80337 Munich, Bavaria Germany', 'Gabrielenstrasse 6, 80636 Munich, Bavaria Germany']",3.125,1,1,1,1,0,0,1,1,Munich,65,258,6
